country,source,title,date_iso,summary,url,category,status
Ethiopia,Ethiopian News Agency (ENA),AUC Chairperson Reiterates Commitment to Sustain security Support for Somalia,,"AUC Chairperson Reiterates Commitment to Sustain security Support for Somalia Addis Ababa, 25, 2025 (ENA)—The Newly elected African Union Commission (AUC) Chairperson Mahamoud Ali Youssouf vowed to sustain security assistance for Somalia, reaffirming that the African Union will remain steadfast under his leadership to the Horn African nation. Visiting the conflict-ridden Somalia, the chairperson urged Somalis to come together in the ongoing battle against Al-Shabaab militants, who have intensifi...",https://www.ena.et/web/eng/w/eng_6244610,highway,
Ethiopia,Ethiopian News Agency (ENA),Ethiopia’s Immense Contributions to Regional Aspirations,,"Ethiopia’s Immense Contributions to Regional Aspirations By A Staff Writer For many years, the Horn of Africa has been derailed from peace and prosperity, resulting in protracted political turmoil and attendant socio-economic anomalies. Many states in the region have suffered from vicious cycle of political turmoil. In addition, the region is vulnerable to harsh climatic conditions due to the degradation of its natural resources. Such challenges have taken a heavy toll on people. As such challen...",https://www.ena.et/web/eng/w/eng_5116832,highway,
Ethiopia,Ethiopian News Agency (ENA),"Technology-driven Efforts Being Carried Out to Make Addis Ababa Smart City, Says Mayor Adanech",,"Technology-driven Efforts Being Carried Out to Make Addis Ababa Smart City, Says Mayor Adanech Addis Ababa May 19¸2025 (ENA) -- Technology backed efforts are being carried out to transform Addis Ababa city into a smart city, leveraging multifaceted efforts and service standards being provided to the public, Mayor of Addis Ababa City Adanech Abiebie stated. The Mayor made the remarks during her visit to East Africa’s largest ever Ethiopian Technology Expo (ETEX 2025), currently taking place at Ad...",https://www.ena.et/web/eng/w/eng_6618470,smart city,
Ethiopia,Ethiopian News Agency (ENA),A New Face of Addis Ababa: Welcoming the 38th AU Summit,,"A New Face of Addis Ababa: Welcoming the 38th AU Summit Ethiopia is gearing up to host the 38th Ordinary Session of the Assembly of the African Union, which is scheduled for February 15-16, 2025. This year, the seat of the African Union, the capital city of Ethiopia, Addis Ababa, will welcome African leaders with a fresh, new look. This transformation is the result of transformative Corridor Development Project. The project is aimed at enhancing the city's prominence by adhering to international...",https://www.ena.et/web/eng/w/eng_5625627,smart city,
Ethiopia,Ethiopian News Agency (ENA),Ethiopia Takes Part in BRICS Urbanization Ministerial Forum,,"Ethiopia Takes Part in BRICS Urbanization Ministerial Forum Addis Ababa, June, 24, 2025 (ENA)— Ethiopia took part in the BRICS Urbanization Ministerial Forum, held in Brasilia, Brazil, according to the Ministry of Foreign Affairs. On the occasion, Ethiopian Ambassador to Brazil, Leulseged Tadesse presented the integrated urban development initiatives. Particularly, Ambassador Leulseged detailed the Urban Corridor Development that Ethiopia has continued to implement to make urban areas inclusive,...",https://www.ena.et/web/eng/w/eng_6824547,smart city,
Ethiopia,Ethiopian News Agency (ENA),"Generations Would be Proud of City’s Corridor Dev't, Says Mayor",,"Generations Would be Proud of City’s Corridor Dev't, Says Mayor Addis Ababa 17/20224 (ENA)The present and future generations would be proud of the Addis Ababa corridor development that has been carried out for the last four month, Addis Ababa City Mayor Adanech Abebie said. The mayor presented the 2016 EFY performance report at the Addis Ababa City Council 4th regular session today. In her report, the mayor mentioned the social and economic developments carried out in the previous years of the r...",https://www.ena.et/web/eng/w/eng_4793973,smart city,
Ethiopia,Ethiopian News Agency (ENA),PM Abiy Says Ethiopia Intensifying Urban Farming as Part of Sustainable Urban Livelihood Strategy,,"PM Abiy Says Ethiopia Intensifying Urban Farming as Part of Sustainable Urban Livelihood Strategy Addis Ababa, September 30 /2024 (ENA) Prime Minister Abiy Ahmed underscored that Ethiopia has been intensifying urban farming as part of its sustainable urban livelihood strategy. In a social media post the Prime Minister stated that: “When we intensified urban farming in Ethiopia as part of a sustainable urban livelihood strategy, we did so with a clear understanding of its transformative potential...",https://www.ena.et/web/eng/w/eng_5214955,smart city,
Ethiopia,Ethiopian News Agency (ENA),Corridor Dev't in South West Ethiopia Peoples’ Region,,"Corridor Dev't in South West Ethiopia Peoples’ Region The 2nd region we feature in this visual series is the South West Ethiopia Peoples’ Region. What Activities Are Underway in the South West Ethiopia Peoples’ Region Corridor Development? * In the region, corridor development efforts have focused on maintaining cities’ master plans with efforts to ensure legal compliance underway * Pedestrian roads and bike lanes construction * Drainage systems, green recreational areas, and water, electricity,...",https://www.ena.et/web/eng/w/eng_5913755,smart city,
Ethiopia,Ethiopian News Agency (ENA),Stakeholders Urged to Coordinate Efforts in Response to EU Deforestation Regulation,,"Stakeholders Urged to Coordinate Efforts in Response to EU Deforestation Regulation Addis Ababa, 25, 2025 (ENA)— Ministry of Trade and Regional Integration has urged stakeholders to coordinate efforts in response to the EU Deforestation Regulation (EUDR), which poses significant challenges to Ethiopia's critical exports. The EUDR, a landmark legislative initiative designed to curb the Union's contribution to global deforestation and forest degradation, mandates that specific commodities entering...",https://www.ena.et/web/eng/w/eng_6251146,water,
Ethiopia,Ethiopian News Agency (ENA),Horn Of Africa Initiative Finance Ministers Focus on Innovative Financing At 22nd Ministerial Meeting,,"Horn Of Africa Initiative Finance Ministers Focus on Innovative Financing At 22nd Ministerial Meeting Addis Ababa, october 25/2024 (ENA) Finance Ministers from the Horn of Africa gathered today in Washington D.C. for the 22nd Horn of Africa Initiative (HoAI) Ministerial Meeting, held alongside the Annual Meetings of the World Bank and International Monetary Fund. The meeting, co-chaired by Ahmed Shide, Finance Minister of Ethiopia, and Victoria Kwakwa, World Bank Vice President for Eastern and S...",https://www.ena.et/web/eng/w/eng_5349612,economic,
