country,source,title,date_iso,summary,url,category,status
Ethiopia,Ministry of Urban Infrastructure & Development,"""Federal Election and Geostatistical and National Issues Coordination""",2025-10-21,"Here is the translated text:

""On July 7, 2018 (EC), the Minister of Water, Irrigation and Energy, Sileshi Bekele, and experts discussed national and geostrategic issues. The discussion focused on the nature of the national dam and the economy […]""",https://mui.gov.et/%e1%8b%a8%e1%89%a5%e1%88%94%e1%88%ab%e1%8b%8a-%e1%8c%a5%e1%89%85%e1%88%9d-%e1%8a%a5%e1%8a%93-%e1%8c%82%e1%8a%a6%e1%88%b5%e1%89%b5%e1%88%ab%e1%89%b4%e1%8c%82%e1%8a%ab%e1%88%8d-%e1%8a%a5%e1%8a%95/,,
Ethiopia,Ministry of Urban Infrastructure & Development,The Impact of the Sandwich Day on Various Publications in High Resolution,2025-10-15,"Here is the translated text:

Addis Ababa, March 3/2018 E.C. (from the Ministry) – The Ministry of Urban Development and Housing, along with the youth, in the eastern part of the country for the 18th time, under the slogan “Self-reliance! For our unity, for our sovereignty, and for Ethiopia’s development!” […]",https://mui.gov.et/language/am/%e1%8b%a8%e1%88%a0%e1%8a%95%e1%8b%b0%e1%89%85-%e1%8b%93%e1%88%8b%e1%88%9b-%e1%89%80%e1%8a%95-%e1%89%a0%e1%89%b0%e1%88%88%e1%8b%ab%e1%8b%a9-%e1%8b%9d%e1%8c%8d%e1%8c%85%e1%89%b6%e1%89%bd-%e1%89%a0/,,
Ethiopia,Ministry of Urban Infrastructure & Development,The Impact of Sandstorm Days on Various Indicators in High Resolution,2025-10-15,"Here is the translated text:

Addis Ababa, March 3/2018 E.C. (from the Ministry) - The Ministry of Urban Development and Housing and the youth have launched the ""Sendeq: For Our Unity, Our Sovereignty, and Ethiopia's Victory!"" campaign in the capital for the 18th time. The campaign [...]",https://mui.gov.et/%e1%8b%a8%e1%88%a0%e1%8a%95%e1%8b%b0%e1%89%85-%e1%8b%93%e1%88%8b%e1%88%9b-%e1%89%80%e1%8a%95-%e1%89%a0%e1%89%b0%e1%88%88%e1%8b%ab%e1%8b%a9-%e1%8b%9d%e1%8c%8d%e1%8c%85%e1%89%b6%e1%89%bd-%e1%89%a0/,,
Ethiopia,Ministry of Urban Infrastructure & Development,"Federal First-Class Court of Justice for the Implementation of the Environmental Protection and Sustainable Development Principles, to be Established by the Amhara Regional Council on the 19th Day of the 19th Month of 2017 (Ethiopian Calendar), the Federal First-Class Court of Justice, the Ministry of Urban Development and Housing, the Ministry of Data, the Associations of Danos, and the Professionals in the Field will be Held at the Federal First-Class Court of Justice.",2025-10-15,"The Federal Ministry of Health of the State of Addis Ababa and the City Administration, in collaboration with the Ethiopian Construction Works Corporation (ECWC) and Yirgalem Construction, have completed the construction of the Federal Police Hospital and the Federal Forensic Laboratory buildings in the past year. The project has been implemented in accordance with the approved design […]",https://mui.gov.et/language/am/%e1%8b%a8%e1%8d%8c%e1%8b%b0%e1%88%ab%e1%88%8d-%e1%8c%a0%e1%89%85%e1%88%8b%e1%8b%ad-%e1%8d%8d%e1%88%ad%e1%8b%b5-%e1%89%a4%e1%89%b5-%e1%8b%a8%e1%88%85%e1%8a%95%e1%8c%bb-%e1%8c%8d%e1%8a%95%e1%89%a3/,,
Ethiopia,Ministry of Urban Infrastructure & Development,Ministry of Education Technical High School Network's Techno-Awde-Rein Project,2025-10-15,"Addis Ababa, Proclamation No. 29/2018 (from Meher) of the Ministry of Urban Development and Construction, the representatives of the Addis Ababa City Administration have today signed the Addis Ababa Light Rail Transit Technology Transfer Agreement with the Gumruk Commission in the Grand Hall. In the signing ceremony, they moved to the permanent tax stamp office, […]",https://mui.gov.et/%e1%8b%a8%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%88%98-%e1%89%a4%e1%89%b1-%e1%88%a0%e1%88%ab%e1%89%b0%e1%8a%9e%e1%89%bd-%e1%8b%a8%e1%89%b4%e1%8a%ad%e1%8a%96%e1%88%8e%e1%8c%82-%e1%8b%90/,,
Ethiopia,Ministry of Urban Infrastructure & Development,"""Federalism, Geostatistics, and Intergovernmental Relations in Addressing National Issues""",2025-10-21,"Here is the translated text:

""On July 7, 2018 (EC), the Minister of Water, Irrigation and Energy, Ameha Aregawi, and experts discussed federal and geostrategic national issues. The discussion focused on the nature of the federal water system and the economy […]""",https://mui.gov.et/language/am/%e1%8b%a8%e1%89%a5%e1%88%94%e1%88%ab%e1%8b%8a-%e1%8c%a5%e1%89%85%e1%88%9d-%e1%8a%a5%e1%8a%93-%e1%8c%82%e1%8a%a6%e1%88%b5%e1%89%b5%e1%88%ab%e1%89%b4%e1%8c%82%e1%8a%ab%e1%88%8d-%e1%8a%a5%e1%8a%95/,,
Ethiopia,Ministry of Urban Infrastructure & Development,Ministry of Education Technical Support Team's Techno-Awde-Rein Gobenu,2025-10-15,አዲስ አበባ፣ መስከረም 29/2018 ዓ.ም (ከመልሚ) የከተማና መሠረተ-ልማት ሚኒስቴር ሠራተኞች በአዲስ ዓለም አቀፍ ኮንቬንሽን ሴንተር በጉምሩክ ኮሚሽን የተዘጋጀውን የቴክኖሎጂ ዐውደ-ርዕይ በዛሬው ዕለት ጎብኝተዋል፡፡ በጉብኝቱ ሂደት ወደ ዘመናዊ ታክስ አስተዳደር ሥርዓት፣ […],https://mui.gov.et/language/am/%e1%8b%a8%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%88%98-%e1%89%a4%e1%89%b1-%e1%88%a0%e1%88%ab%e1%89%b0%e1%8a%9e%e1%89%bd-%e1%8b%a8%e1%89%b4%e1%8a%ad%e1%8a%96%e1%88%8e%e1%8c%82-%e1%8b%90/,,
Ethiopia,Ministry of Urban Infrastructure & Development,In the Crater of the Volcano: The Geological and Educational Legacy of the Hunchawos,2025-10-15,"The entire area, Proclamation 27/2018 (from Melem) in the Addis Ababa City Administration and the Ministry of Education, in the context of the construction of the second phase of the Tulul Arara School in the Wereda Hawas Sebeta, the Tulul Arara School second phase building construction tender […]",https://mui.gov.et/language/am/%e1%89%a0%e1%8a%ad%e1%88%a8%e1%88%9d%e1%89%b5-%e1%89%a0%e1%8c%8e-%e1%8d%88%e1%89%83%e1%8b%b5-%e1%8a%a0%e1%8c%88%e1%88%8d%e1%8c%8d%e1%88%8e%e1%89%b5-%e1%8b%a8%e1%89%b0%e1%88%b0%e1%88%a9-%e1%88%85/,,
Ethiopia,Ministry of Urban Infrastructure & Development,Ministry of Education and Training's Consultancy Services for the Construction of the Megebbia Senior Secondary School in Collaboration with the Ethiopian Construction Corporation,2025-10-15,"Addis Ababa, March 28, 2018 (Meles) — The Ethiopian Electric Power (EEP) has announced that it will implement the **Transmission System Development Plan (TSDP) 2025-2050** for the next 25 years. The plan, which was approved by the **Ethiopian Electricity Industry Institute (EEII)**, includes the **Ethiopian National Electricity Initiative (ENEI)** as its main framework […]",https://mui.gov.et/%e1%8b%a8%e1%8a%a8%e1%89%b0%e1%88%9b%e1%8a%93-%e1%88%98%e1%88%b0%e1%88%a8%e1%89%b0-%e1%88%8d%e1%88%9b%e1%89%b5-%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%8a%a8%e1%8a%a2%e1%89%b5/,,
Ethiopia,Ministry of Urban Infrastructure & Development,የከተማና መሰረተ  ልማት ሚኒስቴር  ከኢትዮጵያ ኮንስትራክሽን ስራ ተቋራጮች  ማህበር  ጋር የመግባቢያ ሰነድ ተፈራረሙ,2025-10-15,"Addis Ababa, September 28, 2018 (Meles) – The Ethiopian Electric Power (EEP) has announced that the Gibe III Hydropower Project will be fully operational by 2025-2050, according to the Ethiopian Electric Power Industry Transformation Strategic Plan (EEP Industry Initiative). The main objective of the initiative is to […]",https://mui.gov.et/language/am/%e1%8b%a8%e1%8a%a8%e1%89%b0%e1%88%9b%e1%8a%93-%e1%88%98%e1%88%b0%e1%88%a8%e1%89%b0-%e1%88%8d%e1%88%9b%e1%89%b5-%e1%88%9a%e1%8a%92%e1%88%b5%e1%89%b4%e1%88%ad-%e1%8a%a8%e1%8a%a2%e1%89%b5/,,
